Category	Category Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
Plant Sciences	95	Botanical Studies	BOT STUD	****-****	823	1.796	1.714	1.949	0.313	32	4.9	10.4	0.001520	0.421	96.88	58.553	0.18054
Plant Sciences	96	PLANT ECOLOGY	PLANT ECOL	1385-0237	5,850	1.789	1.692	1.901	0.254	118	11.2	11.6	0.004380	0.540	98.31	53.331	0.52028
Plant Sciences	97	PHYTOCOENOLOGIA	PHYTOCOENOLOGIA	0340-269X	587	1.750	1.045	1.424	1.111	27	12.7	13.6	0.000320	0.268	66.67	48.502	0.03867
Plant Sciences	98	EUROPEAN JOURNAL OF PLANT PATHOLOGY	EUR J PLANT PATHOL	0929-1873	5,885	1.744	1.540	1.754	0.390	272	8.3	11.0	0.006410	0.419	97.43	66.827	0.76203
Plant Sciences	99	BREEDING SCIENCE	BREEDING SCI	1344-7610	1,702	1.743	1.615	2.185	0.359	64	7.7	10.7	0.001950	0.489	75.00	61.264	0.23259
Plant Sciences	100	Fottea	FOTTEA	1802-5439	475	1.727	1.636	2.107	1.053	19	6.0	11.1	0.000800	0.594	100.00	56.360	0.09594
Plant Sciences	101	PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY	PHYSIOL MOL PLANT P	0885-5765	2,521	1.678	1.603	1.609	0.756	86	14.2	10.0	0.001430	0.382	95.35	55.921	0.17010
Plant Sciences	102	REVIEW OF PALAEOBOTANY AND PALYNOLOGY	REV PALAEOBOT PALYNO	0034-6667	5,390	1.674	1.438	1.925	0.269	104	13.2	15.9	0.003750	0.563	97.12	64.145	0.44580
Plant Sciences	103	Plant Signaling & Behavior	PLANT SIGNAL BEHAV	1559-2316	6,926	1.644	1.595	Not Available	0.315	165	7.0	8.5	0.009720	Not Available	97.58	35.660	1.15552
Plant Sciences	104	ACTA PHYSIOLOGIAE PLANTARUM	ACTA PHYSIOL PLANT	0137-5881	5,347	1.608	1.530	1.927	0.238	214	5.7	9.5	0.007670	0.388	93.93	54.605	0.91171
Plant Sciences	105	PLANT MOLECULAR BIOLOGY REPORTER	PLANT MOL BIOL REP	0735-9640	2,986	1.604	1.584	1.897	0.130	77	8.1	10.0	0.003320	0.439	97.40	36.893	0.39496
Plant Sciences	106	PLANT SYSTEMATICS AND EVOLUTION	PLANT SYST EVOL	0378-2697	4,882	1.585	1.502	1.552	0.435	92	12.1	14.1	0.004240	0.437	100.00	36.364	0.50407
Plant Sciences	107	PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS	PHYSIOL MOL BIOL PLA	0971-5894	1,038	1.539	1.440	2.027	0.298	114	5.1	10.3	0.001750	0.402	98.25	53.289	0.20874
Plant Sciences	108	Theoretical and Experimental Plant Physiology	THEOR EXP PLANT PHYS	2197-0025	219	1.532	1.489	1.800	0.097	31	3.8	9.6	0.000620	0.394	100.00	52.851	0.07425
Plant Sciences	109	EUPHYTICA	EUPHYTICA	0014-2336	10,011	1.527	1.388	1.680	0.229	231	11.9	10.3	0.006990	0.405	94.81	61.494	0.83052
Plant Sciences	110	PLANT BIOSYSTEMS	PLANT BIOSYST	1126-3504	1,964	1.525	1.286	1.378	0.961	128	5.8	11.4	0.002480	0.290	98.44	51.974	0.29548
