Category	Category Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
Ecology	1	TRENDS IN ECOLOGY & EVOLUTION	TRENDS ECOL EVOL	0169-5347	36,697	15.236	14.694	18.964	3.028	72	11.8	6.2	0.035920	7.491	0.00	99.086	4.26704
Ecology	2	Nature Ecology & Evolution	NAT ECOL EVOL	2397-334X	3,206	10.965	10.518	10.969	3.262	214	1.4	7.5	0.016670	5.537	91.59	97.043	1.98091
Ecology	3	FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	FRONT ECOL ENVIRON	1540-9295	10,483	10.935	10.657	11.692	1.618	55	7.8	6.4	0.015300	3.835	63.64	98.738	1.81720
Ecology	4	Annual Review of Ecology Evolution and Systematics	ANNU REV ECOL EVOL S	1543-592X	20,257	10.878	10.776	15.580	0.455	22	16.7	8.5	0.011780	6.811	0.00	95.433	1.40004
Ecology	5	ISME Journal	ISME J	1751-7362	23,603	9.493	9.006	10.872	2.089	257	5.5	7.5	0.051330	3.341	98.83	95.057	6.09744
Ecology	6	GLOBAL CHANGE BIOLOGY	GLOBAL CHANGE BIOL	1354-1013	42,119	8.880	8.181	10.171	2.185	491	6.8	7.8	0.075640	3.338	95.52	97.995	8.98409
Ecology	7	ECOLOGY LETTERS	ECOL LETT	1461-023X	32,776	8.699	8.318	11.576	1.776	170	9.1	9.1	0.046530	4.604	88.24	96.037	5.52639
Ecology	8	ECOLOGICAL MONOGRAPHS	ECOL MONOGR	0012-9615	11,025	7.698	7.587	10.890	2.316	38	17.8	10.4	0.007750	4.023	81.58	95.427	0.92154
Ecology	9	Methods in Ecology and Evolution	METHODS ECOL EVOL	2041-210X	11,672	7.099	6.759	9.544	1.609	215	5.1	7.8	0.036720	3.541	93.02	94.817	4.36222
Ecology	10	Molecular Ecology Resources	MOL ECOL RESOUR	1755-098X	10,473	7.049	6.422	7.208	1.558	120	6.8	6.5	0.019000	2.248	98.33	90.436	2.25763
Ecology	11	CONSERVATION BIOLOGY	CONSERV BIOL	0888-8892	21,980	6.194	5.984	6.111	1.512	127	12.6	7.4	0.019450	1.990	92.91	93.962	2.31052
Ecology	12	ECOGRAPHY	ECOGRAPHY	0906-7590	11,508	5.946	5.623	6.691	1.778	176	8.1	9.1	0.020530	2.414	93.18	93.477	2.43895
Ecology	13	MOLECULAR ECOLOGY	MOL ECOL	0962-1083	39,464	5.855	5.229	6.614	1.342	348	8.2	8.0	0.060180	2.183	96.55	88.041	7.14866
Ecology	14	JOURNAL OF APPLIED ECOLOGY	J APPL ECOL	0021-8901	19,342	5.782	5.508	6.533	1.765	268	9.3	8.2	0.023780	2.037	93.66	92.005	2.82532
Ecology	15	Advances in Ecological Research	ADV ECOL RES	0065-2504	2,205	5.724	5.345	5.371	2.077	13	18.8	6.2	0.001740	1.888	0.00	91.159	0.20742
Ecology	16	JOURNAL OF ECOLOGY	J ECOL	0022-0477	19,532	5.687	5.323	6.817	1.870	193	10.3	9.9	0.023130	2.286	97.41	92.752	2.74828
Ecology	17	GLOBAL ECOLOGY AND BIOGEOGRAPHY	GLOBAL ECOL BIOGEOGR	1466-822X	11,864	5.667	5.365	7.144	1.460	124	7.1	8.7	0.021920	2.606	98.39	93.470	2.60438
Ecology	18	Ecosystem Services	ECOSYST SERV	2212-0416	4,552	5.572	4.203	6.497	1.935	200	3.2	6.2	0.008310	1.117	96.00	90.047	0.98701
Ecology	19	LANDSCAPE AND URBAN PLANNING	LANDSCAPE URBAN PLAN	0169-2046	16,054	5.144	4.799	6.571	1.257	218	7.7	7.8	0.014880	1.282	96.79	94.366	1.76802
Ecology	20	FUNCTIONAL ECOLOGY	FUNCT ECOL	0269-8463	15,830	5.037	4.805	5.827	1.190	237	9.3	9.3	0.022510	1.991	93.25	88.110	2.67406
Ecology	21	ECOSYSTEMS	ECOSYSTEMS	1432-9840	9,915	4.555	4.422	4.951	1.431	116	10.2	10.2	0.011170	1.605	100.00	87.500	1.32730
Ecology	22	BIOLOGICAL CONSERVATION	BIOL CONSERV	0006-3207	30,256	4.451	4.085	5.163	0.973	403	9.1	8.2	0.037830	1.586	94.54	85.828	4.49337
Ecology	23	ECOLOGICAL APPLICATIONS	ECOL APPL	1051-0761	21,600	4.378	4.227	4.999	0.799	169	11.6	8.7	0.018960	1.646	100.00	83.440	2.25246
Ecology	24	JOURNAL OF ANIMAL ECOLOGY	J ANIM ECOL	0021-8790	16,556	4.364	4.152	5.017	1.965	142	11.9	9.4	0.017770	1.877	94.37	92.100	2.11123
Ecology	25	LANDSCAPE ECOLOGY	LANDSCAPE ECOL	0921-2973	9,360	4.349	4.016	4.992	0.607	145	8.1	9.0	0.012170	1.276	96.55	88.548	1.44588
Ecology	26	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	P ROY SOC B-BIOL SCI	0962-8452	53,240	4.304	4.148	5.386	0.839	540	9.7	9.2	0.079660	2.102	94.63	83.794	9.46156
Ecology	27	ECOLOGY	ECOLOGY	0012-9658	61,936	4.285	4.095	5.460	0.895	276	15.2	10.3	0.041470	2.056	100.00	83.841	4.92554
Ecology	28	ECOLOGICAL ECONOMICS	ECOL ECON	0921-8009	25,091	4.281	3.830	5.207	1.205	380	9.3	8.5	0.018440	1.113	98.16	85.974	2.19045
Ecology	29	ECOLOGY AND SOCIETY	ECOL SOC	1708-3087	11,712	4.136	3.593	4.969	0.927	178	6.8	7.8	0.015060	1.177	95.51	83.768	1.78949
Ecology	30	DIVERSITY AND DISTRIBUTIONS	DIVERS DISTRIB	1366-9516	8,157	4.092	3.817	4.948	1.034	149	7.4	8.6	0.013310	1.628	97.99	84.541	1.58169
Ecology	31	Fungal Ecology	FUNGAL ECOL	1754-5048	2,361	3.990	3.787	3.845	0.562	73	4.1	8.8	0.006030	1.106	100.00	81.218	0.71663
Ecology	32	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	AGR ECOSYST ENVIRON	0167-8809	22,675	3.954	3.566	4.655	0.949	371	8.4	8.9	0.024040	1.066	93.53	84.371	2.85621
Ecology	33	Biogeosciences	BIOGEOSCIENCES	1726-4170	18,212	3.951	3.518	4.699	0.784	425	5.4	9.5	0.046700	1.593	98.35	82.821	5.54772
Ecology	34	JOURNAL OF BIOGEOGRAPHY	J BIOGEOGR	0305-0270	15,971	3.884	3.528	4.639	0.803	229	9.5	9.5	0.020640	1.523	100.00	78.287	2.45181
Ecology	35	AMERICAN NATURALIST	AM NAT	0003-0147	28,666	3.855	3.674	4.058	1.311	151	19.5	11.7	0.018580	1.730	100.00	76.982	2.20756
Ecology	36	Current Opinion in Insect Science	CURR OPIN INSECT SCI	2214-5745	1,563	3.784	3.551	4.235	1.019	103	2.9	5.4	0.006370	1.402	0.00	87.145	0.75690
Ecology	37	Movement Ecology	MOV ECOL	2051-3933	608	3.745	3.608	Not Available	0.154	26	3.6	10.4	0.002970	Not Available	88.46	77.744	0.35390
Ecology	38	Conservation Physiology	CONSERV PHYSIOL	2051-1434	1,126	3.634	3.063	4.063	0.530	66	3.6	8.9	0.003890	1.099	96.97	78.369	0.46209
Ecology	39	MICROBIAL ECOLOGY	MICROB ECOL	0095-3628	10,808	3.611	3.474	3.983	1.239	188	8.4	8.6	0.011280	0.970	97.34	79.517	1.33983
Ecology	40	EVOLUTION	EVOLUTION	0014-3820	31,677	3.573	3.247	4.092	1.140	207	15.0	10.3	0.029010	1.680	99.52	71.106	3.44622
Ecology	41	APPLIED VEGETATION SCIENCE	APPL VEG SCI	1402-2001	2,148	3.568	3.232	3.022	0.557	61	6.7	10.8	0.003090	0.729	100.00	85.627	0.36701
Ecology	42	OIKOS	OIKOS	0030-1299	21,957	3.468	3.370	3.765	0.994	163	14.4	10.4	0.016130	1.393	99.39	74.695	1.91642
Ecology	43	ECOLOGICAL ENGINEERING	ECOL ENG	0925-8574	16,621	3.406	3.175	3.617	0.633	354	5.3	9.5	0.022320	0.653	98.02	68.662	2.65184
Ecology	44	FRESHWATER BIOLOGY	FRESHWATER BIOL	0046-5070	15,013	3.404	3.143	3.597	1.374	123	10.8	10.3	0.012370	1.016	100.00	82.340	1.47034
Ecology	45	WILDLIFE MONOGRAPHS	WILDLIFE MONOGR	0084-0173	827	3.333	3.000	7.250	1.333	6	26.4	12.7	0.000550	2.605	100.00	85.404	0.06541
Ecology	46	Biology Letters	BIOL LETTERS	1744-9561	9,783	3.323	3.226	3.484	0.517	209	7.0	7.8	0.019530	1.339	95.69	72.764	2.31988
Ecology	47	HEREDITY	HEREDITY	0018-067X	9,521	3.179	3.085	3.677	1.053	95	11.8	9.1	0.010620	1.325	95.79	66.051	1.26246
Ecology	48	BIODIVERSITY AND CONSERVATION	BIODIVERS CONSERV	0960-3115	10,975	3.142	2.920	3.295	0.813	193	9.2	9.1	0.011380	0.950	92.75	73.752	1.35219
Ecology	49	ANIMAL CONSERVATION	ANIM CONSERV	1367-9430	3,282	3.048	2.857	3.271	1.604	48	8.8	8.9	0.003960	1.028	100.00	76.162	0.47092
Ecology	50	BIOTROPICA	BIOTROPICA	0006-3606	6,342	2.989	2.887	2.721	0.967	92	13.3	10.6	0.004860	0.814	96.74	69.817	0.57753
Ecology	51	JOURNAL OF VEGETATION SCIENCE	J VEG SCI	1100-9233	8,102	2.944	2.746	3.392	0.471	102	12.0	10.5	0.007740	1.021	100.00	78.270	0.91960
Ecology	52	OECOLOGIA	OECOLOGIA	0029-8549	33,263	2.915	2.788	3.323	0.586	290	15.5	10.7	0.022470	1.091	99.31	68.598	2.66912
Ecology	53	BIOLOGICAL INVASIONS	BIOL INVASIONS	1387-3547	9,232	2.897	2.657	2.914	0.792	250	7.3	10.3	0.013040	0.809	98.80	74.080	1.54986
Ecology	54	RESTORATION ECOLOGY	RESTOR ECOL	1061-2971	5,513	2.826	2.398	2.888	0.898	167	9.2	9.6	0.005160	0.716	91.62	67.378	0.61328
Ecology	55	INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY	INT J SUST DEV WORLD	1350-4509	1,694	2.811	2.236	2.396	1.000	70	7.1	8.7	0.001140	0.319	98.57	58.384	0.13646
Ecology	56	ORYX	ORYX	0030-6053	3,082	2.801	2.579	2.830	1.350	80	8.0	9.1	0.004920	0.944	100.00	72.303	0.58500
Ecology	57	BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	B AM MUS NAT HIST	0003-0090	2,785	2.800	2.600	3.979	0.125	8	33.8	20.3	0.000740	1.202	100.00	71.136	0.08865
Ecology	58	AQUATIC MICROBIAL ECOLOGY	AQUAT MICROB ECOL	0948-3055	4,340	2.788	2.385	2.584	0.857	42	12.8	11.2	0.002180	0.716	100.00	65.435	0.25950
Ecology	59	Global Ecology and Conservation	GLOB ECOL CONSERV	2351-9894	1,082	2.751	2.607	2.963	0.192	146	3.1	8.8	0.004230	0.902	91.10	68.803	0.50258
Ecology	60	Ecosphere	ECOSPHERE	2150-8925	5,935	2.746	2.593	3.217	0.452	409	3.4	10.4	0.019500	1.041	99.27	63.720	2.31627
Ecology	61	BEHAVIORAL ECOLOGY	BEHAV ECOL	1045-2249	9,769	2.695	2.468	3.226	1.135	155	9.6	11.2	0.013890	1.165	96.13	75.071	1.65005
Ecology	62	Frontiers in Ecology and Evolution	FRONT ECOL EVOL	2296-701X	1,539	2.686	2.595	Not Available	0.397	204	2.8	9.5	0.006610	Not Available	89.22	62.500	0.78588
Ecology	63	ECOLOGICAL MODELLING	ECOL MODEL	0304-3800	18,791	2.634	2.362	2.852	0.433	252	11.0	10.1	0.015220	0.722	96.83	61.890	1.80868
Ecology	64	Ecohydrology	ECOHYDROLOGY	1936-0584	2,703	2.564	2.376	2.829	0.847	118	4.5	10.4	0.005890	0.757	94.92	63.187	0.69958
Ecology	65	JOURNAL OF EVOLUTIONARY BIOLOGY	J EVOLUTION BIOL	1010-061X	10,594	2.541	2.394	2.753	0.482	166	8.8	10.7	0.015540	1.068	99.40	52.645	1.84645
Ecology	66	PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	PERSPECT PLANT ECOL	1433-8319	2,230	2.524	2.357	3.482	0.946	56	8.2	10.0	0.002710	1.044	87.50	66.324	0.32286
Ecology	67	AQUATIC ECOLOGY	AQUAT ECOL	1386-2588	1,783	2.505	2.474	2.235	0.320	25	9.5	12.4	0.001760	0.616	100.00	74.336	0.20971
Ecology	68	URBAN ECOSYSTEMS	URBAN ECOSYST	1083-8155	2,578	2.493	2.278	2.781	0.510	98	6.1	9.8	0.003660	0.631	98.98	64.335	0.43478
Ecology	69	CHEMOECOLOGY	CHEMOECOLOGY	0937-7409	1,015	2.488	2.326	1.936	0.474	19	11.6	10.9	0.000910	0.553	100.00	48.663	0.10838
Ecology	69	NeoBiota	NEOBIOTA	1619-0033	292	2.488	2.209	Not Available	0.368	19	4.1	9.8	0.000720	Not Available	100.00	63.168	0.08621
Ecology	71	BASIC AND APPLIED ECOLOGY	BASIC APPL ECOL	1439-1791	3,128	2.474	2.365	2.760	0.730	74	8.2	9.3	0.003900	0.807	94.59	57.012	0.46366
Ecology	72	EVOLUTIONARY ECOLOGY	EVOL ECOL	0269-7653	3,607	2.465	2.442	2.032	0.625	40	12.1	12.4	0.003220	0.718	100.00	49.789	0.38304
Ecology	73	ECOTOXICOLOGY	ECOTOXICOLOGY	0963-9292	5,980	2.460	2.275	2.634	0.460	126	7.1	9.3	0.006150	0.551	98.41	51.805	0.73136
Ecology	74	JOURNAL OF CHEMICAL ECOLOGY	J CHEM ECOL	0098-0331	10,408	2.447	2.226	3.024	0.505	107	13.6	11.9	0.006950	0.852	86.92	46.803	0.82643
Ecology	75	Ecology and Evolution	ECOL EVOL	2045-7758	9,915	2.415	2.266	2.855	0.384	1,065	3.3	10.1	0.036680	0.924	98.12	50.787	4.35673
Ecology	76	BMC ECOLOGY	BMC ECOL	1472-6785	1,174	2.381	2.330	2.922	0.276	58	6.1	10.6	0.002280	0.894	98.28	53.963	0.27083
Ecology	77	JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	J EXP MAR BIOL ECOL	0022-0981	16,282	2.365	2.272	2.308	0.681	141	13.4	12.7	0.009950	0.689	100.00	63.482	1.18200
Ecology	78	MARINE ECOLOGY PROGRESS SERIES	MAR ECOL PROG SER	0171-8630	39,386	2.359	2.122	2.715	0.657	405	13.1	11.1	0.024460	0.809	98.52	63.779	2.90551
Ecology	79	PALEOBIOLOGY	PALEOBIOLOGY	0094-8373	3,874	2.354	2.089	2.839	0.524	42	18.5	12.9	0.002740	1.081	100.00	63.035	0.32559
Ecology	80	Freshwater Science	FRESHW SCI	2161-9549	1,734	2.344	2.169	2.731	0.300	70	4.2	11.6	0.005650	0.812	100.00	61.642	0.67113
Ecology	81	Ecological Informatics	ECOL INFORM	1574-9541	1,881	2.310	2.179	2.493	0.500	100	4.7	8.8	0.003840	0.645	100.00	50.915	0.45723
Ecology	82	JOURNAL FOR NATURE CONSERVATION	J NAT CONSERV	1617-1381	1,513	2.289	2.156	2.476	0.634	82	5.4	8.6	0.002780	0.665	90.24	56.618	0.33092
Ecology	83	Journal of Plant Ecology	J PLANT ECOL	1752-9921	1,613	2.282	2.178	2.239	0.854	89	5.6	11.8	0.002950	0.644	96.63	58.510	0.35142
Ecology	84	AoB Plants	AOB PLANTS	2041-2851	1,571	2.270	2.209	2.849	0.329	82	3.7	10.9	0.004990	0.826	96.34	57.766	0.59364
Ecology	85	EUROPEAN JOURNAL OF SOIL BIOLOGY	EUR J SOIL BIOL	1164-5563	3,139	2.244	2.104	2.763	0.310	58	7.9	9.0	0.003180	0.621	100.00	54.952	0.37835
Ecology	86	JOURNAL OF SOIL AND WATER CONSERVATION	J SOIL WATER CONSERV	0022-4561	4,171	2.175	2.007	2.888	0.350	80	11.8	10.3	0.003030	0.696	98.75	54.344	0.36032
Ecology	87	BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	BEHAV ECOL SOCIOBIOL	0340-5443	12,209	2.103	1.950	2.309	0.856	188	13.1	11.3	0.010250	0.810	90.43	55.484	1.21836
Ecology	88	Fire Ecology	FIRE ECOL	1933-9747	600	2.098	1.902	1.929	0.417	24	7.2	9.9	0.000780	0.527	100.00	60.263	0.09340
Ecology	89	PLANT SPECIES BIOLOGY	PLANT SPEC BIOL	0913-557X	717	2.077	2.015	1.745	0.364	22	8.3	13.9	0.000880	0.426	95.45	54.707	0.10488
Ecology	90	International Journal for Parasitology-Parasites and Wildlife	INT J PARASITOL-PAR	2213-2244	669	2.075	1.871	Not Available	0.297	64	3.6	11.2	0.002570	Not Available	96.88	52.575	0.30630
Ecology	91	Diversity-Basel	DIVERSITY-BASEL	****-****	907	2.047	1.835	Not Available	0.288	125	5.5	10.8	0.001590	Not Available	84.80	44.817	0.18953
Ecology	92	POLAR BIOLOGY	POLAR BIOL	0722-4060	5,910	2.002	1.711	2.028	0.605	215	9.3	11.9	0.006700	0.563	99.53	49.259	0.79602
Ecology	93	Theoretical Ecology	THEOR ECOL-NETH	1874-1738	723	1.986	1.959	2.011	0.333	36	5.9	13.6	0.002240	0.939	100.00	43.598	0.26674
Ecology	94	Rangeland Ecology & Management	RANGELAND ECOL MANAG	1550-7424	2,126	1.948	1.584	2.191	0.536	97	7.2	10.4	0.002480	0.514	100.00	42.794	0.29502
Ecology	95	JOURNAL OF WILDLIFE MANAGEMENT	J WILDLIFE MANAGE	0022-541X	11,095	1.881	1.546	2.134	0.929	156	13.0	12.0	0.005770	0.628	98.72	60.454	0.68630
Ecology	96	WETLANDS	WETLANDS	0277-5212	4,473	1.854	1.736	2.165	0.321	106	9.7	11.3	0.004090	0.546	96.23	40.184	0.48648
Ecology	97	PEDOBIOLOGIA	PEDOBIOLOGIA	0031-4056	2,480	1.833	1.783	2.190	0.229	35	13.7	10.2	0.001200	0.579	97.14	41.294	0.14362
Ecology	98	JOURNAL OF ARID ENVIRONMENTS	J ARID ENVIRON	0140-1963	8,753	1.825	1.751	2.145	0.612	129	11.1	10.9	0.005810	0.524	96.90	38.974	0.69121
Ecology	99	PLANT ECOLOGY	PLANT ECOL	1385-0237	5,850	1.789	1.692	1.901	0.254	118	11.2	11.6	0.004380	0.540	98.31	53.331	0.52028
Ecology	100	PHYTOCOENOLOGIA	PHYTOCOENOLOGIA	0340-269X	587	1.750	1.045	1.424	1.111	27	12.7	13.6	0.000320	0.268	66.67	48.502	0.03867
Ecology	101	Ecological Complexity	ECOL COMPLEX	1476-945X	1,743	1.713	1.556	2.226	0.522	69	7.5	12.1	0.002550	0.674	100.00	38.720	0.30345
Ecology	102	Aquatic Invasions	AQUAT INVASIONS	1798-6540	1,429	1.705	1.568	2.534	1.364	44	6.8	13.2	0.001890	0.655	93.18	46.138	0.22491
Ecology	103	ECOHYDROLOGY & HYDROBIOLOGY	ECOHYDROL HYDROBIOL	1642-3593	523	1.661	1.411	Not Available	1.026	38	5.8	8.9	0.000560	Not Available	97.37	38.255	0.06695
Ecology	104	Journal of Biological Dynamics	J BIOL DYNAM	1751-3758	627	1.642	1.469	1.830	0.250	36	6.3	9.3	0.001070	0.554	100.00	42.598	0.12772
Ecology	105	THEORETICAL POPULATION BIOLOGY	THEOR POPUL BIOL	0040-5809	3,847	1.559	1.409	1.518	0.754	57	18.7	12.5	0.002470	0.670	100.00	27.538	0.29450
Ecology	106	ECOLOGICAL RESEARCH	ECOL RES	0912-3814	3,329	1.546	1.464	1.618	0.675	114	9.7	11.4	0.003040	0.457	99.12	35.671	0.36187
Ecology	107	POPULATION ECOLOGY	POPUL ECOL	1438-3896	1,216	1.512	1.500	1.725	0.733	30	8.1	12.5	0.001950	0.608	90.00	35.061	0.23267
Ecology	108	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	ACTA OECOL	1146-609X	3,091	1.478	1.433	1.793	0.480	98	9.6	11.6	0.002760	0.487	97.96	34.451	0.32784
Ecology	109	Landscape and Ecological Engineering	LANDSC ECOL ENG	1860-1871	431	1.469	1.102	1.113	0.400	25	7.1	10.9	0.000390	0.212	100.00	39.766	0.04734
Ecology	110	Regional Studies in Marine Science	REG STUD MAR SCI	2352-4855	491	1.462	1.353	1.522	0.378	135	2.3	12.1	0.001230	0.322	97.78	40.458	0.14611
Ecology	111	NEW ZEALAND JOURNAL OF ECOLOGY	NEW ZEAL J ECOL	0110-6465	1,143	1.447	1.329	1.471	0.484	31	12.0	10.1	0.000970	0.389	87.10	32.622	0.11539
Ecology	112	ECOLOGICAL MANAGEMENT & RESTORATION	ECOL MANAG RESTOR	1442-7001	701	1.436	1.327	Not Available	0.379	29	8.7	8.8	0.000780	Not Available	82.76	32.012	0.09295
Ecology	113	FLORA	FLORA	0367-2530	2,950	1.423	1.250	1.544	0.776	143	8.6	12.7	0.002660	0.394	97.90	39.934	0.31597
Ecology	114	AUSTRAL ECOLOGY	AUSTRAL ECOL	1442-9985	4,044	1.403	1.317	1.672	0.457	92	12.5	12.0	0.003130	0.498	98.91	30.793	0.37179
Ecology	115	WILDLIFE BIOLOGY	WILDLIFE BIOL	0909-6396	1,428	1.341	1.250	1.731	0.132	38	10.2	11.9	0.001590	0.551	100.00	45.827	0.18937
Ecology	116	Marine Biology Research	MAR BIOL RES	1745-1000	1,315	1.291	1.222	1.420	0.338	77	5.7	14.7	0.002540	0.413	98.70	34.925	0.30248
Ecology	117	WILDLIFE RESEARCH	WILDLIFE RES	1035-3712	2,630	1.244	1.074	1.579	0.188	69	11.0	10.4	0.002090	0.457	94.20	43.452	0.24900
Ecology	118	Bulletin of the Peabody Museum of Natural History	B PEABODY MUS NAT HI	0079-032X	226	1.240	1.080	1.306	0.125	8	6.8	22.4	0.000290	0.356	75.00	32.711	0.03461
Ecology	119	ENVIRONMENTAL BIOLOGY OF FISHES	ENVIRON BIOL FISH	0378-1909	5,882	1.226	1.135	1.596	0.299	134	15.7	12.7	0.003910	0.472	99.25	32.159	0.46479
Ecology	120	CHEMISTRY AND ECOLOGY	CHEM ECOL	0275-7540	1,138	1.214	1.061	1.252	0.403	62	7.8	8.8	0.000940	0.227	91.94	21.667	0.11278
Ecology	121	JOURNAL OF TROPICAL ECOLOGY	J TROP ECOL	0266-4674	3,286	1.194	1.143	1.336	0.086	35	14.4	13.7	0.001440	0.390	100.00	26.524	0.17155
Ecology	122	Polar Science	POLAR SCI	1873-9652	511	1.190	1.140	1.346	0.800	50	5.1	12.1	0.001020	0.413	90.00	23.289	0.12180
Ecology	123	EUROPEAN JOURNAL OF WILDLIFE RESEARCH	EUR J WILDLIFE RES	1612-4642	1,769	1.184	1.105	1.503	0.289	76	6.6	11.2	0.002900	0.437	97.37	39.270	0.34502
Ecology	124	AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	AFR J RANGE FOR SCI	1022-0119	412	1.173	1.058	1.290	1.889	36	5.2	10.7	0.000530	0.329	86.11	19.448	0.06406
Ecology	125	WEB ECOLOGY	WEB ECOL	2193-3081	122	1.154	1.115	Not Available	0.176	17	7.5	11.0	0.000150	Not Available	100.00	18.943	0.01820
Ecology	126	POLAR RESEARCH	POLAR RES	0800-0395	1,607	1.152	1.076	1.797	0.209	43	11.1	10.9	0.001610	0.591	100.00	25.061	0.19197
Ecology	127	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	BIOCHEM SYST ECOL	0305-1978	4,179	1.127	1.092	1.121	0.243	103	10.3	11.0	0.003880	0.269	99.03	14.141	0.46152
Ecology	128	POLISH POLAR RESEARCH	POL POLAR RES	0138-0338	792	1.118	1.000	2.076	0.227	22	9.2	10.6	0.000950	0.553	100.00	19.929	0.11360
Ecology	129	Human-Wildlife Interactions	HUM-WILDL INTERACT	1934-4392	242	1.115	0.962	Not Available	1.031	32	4.8	10.8	0.000500	Not Available	93.75	25.909	0.06029
Ecology	130	POLAR RECORD	POLAR REC	0032-2474	660	1.051	1.000	1.081	0.150	20	8.3	14.6	0.000910	0.294	95.00	16.618	0.10832
Ecology	131	ACTA AMAZONICA	ACTA AMAZON	0044-5967	1,521	1.042	1.010	1.100	0.043	47	11.5	10.2	0.000960	0.281	100.00	32.408	0.11482
Ecology	132	NATURAL AREAS JOURNAL	NAT AREA J	0885-8608	800	1.032	0.958	1.075	0.176	34	9.7	12.5	0.000950	0.303	100.00	25.953	0.11358
Ecology	133	ANNALES ZOOLOGICI FENNICI	ANN ZOOL FENN	0003-455X	1,664	1.019	1.000	1.136	0.150	20	15.9	14.3	0.000810	0.382	100.00	31.221	0.09717
Ecology	133	RANGELAND JOURNAL	RANGELAND J	1036-9872	925	1.019	0.796	1.642	1.038	53	5.8	9.2	0.001150	0.345	100.00	19.207	0.13763
Ecology	135	COMPOST SCIENCE & UTILIZATION	COMPOST SCI UTIL	1065-657X	757	1.000	0.906	1.039	0.107	28	13.9	12.4	0.000270	0.159	100.00	18.280	0.03226
Ecology	136	Journal of Fish and Wildlife Management	J FISH WILDL MANAG	1944-687X	348	0.981	0.858	0.987	0.196	56	4.1	12.1	0.000910	0.295	100.00	21.189	0.10909
Ecology	137	JOURNAL OF FRESHWATER ECOLOGY	J FRESHWATER ECOL	0270-5060	986	0.930	0.895	1.018	0.081	37	11.9	12.7	0.000770	0.267	97.30	19.098	0.09213
Ecology	138	AFRICAN JOURNAL OF ECOLOGY	AFR J ECOL	0141-6707	2,005	0.893	0.717	0.963	0.362	130	11.6	11.6	0.001350	0.268	98.46	16.159	0.16095
Ecology	139	Israel Journal of Ecology & Evolution	ISR J ECOL EVOL	1565-9801	224	0.870	0.870	0.773	0.000	5	8.1	10.0	0.000310	0.242	100.00	11.274	0.03684
Ecology	140	EVOLUTIONARY ECOLOGY RESEARCH	EVOL ECOL RES	1522-0613	1,707	0.843	0.820	0.841	0.172	29	13.2	13.5	0.000680	0.268	100.00	9.807	0.08193
Ecology	141	JOURNAL OF NATURAL HISTORY	J NAT HIST	0022-2933	3,490	0.837	0.773	0.894	0.444	144	13.8	17.6	0.002920	0.307	98.61	21.876	0.34695
Ecology	142	Ecological Restoration	ECOL RESTOR	1543-4060	398	0.800	0.700	Not Available	0.125	24	8.4	12.3	0.000440	Not Available	87.50	13.720	0.05271
Ecology	143	REVISTA CHILENA DE HISTORIA NATURAL	REV CHIL HIST NAT	0716-078X	1,343	0.750	0.750	1.143	0.100	10	15.6	10.1	0.000430	0.311	100.00	14.745	0.05119
Ecology	144	COMMUNITY ECOLOGY	COMMUNITY ECOL	1585-8553	556	0.746	0.661	1.114	0.091	33	8.9	13.0	0.000580	0.317	100.00	12.500	0.06973
Ecology	145	African Journal of Wildlife Research	AFR J WILDL RES	2410-7220	53	0.731	0.731	0.879	0.125	16	Not Available	10.6	0.000180	0.244	100.00	19.033	0.02219
Ecology	146	PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES	P LINN SOC N S W	0370-047X	602	0.727	0.364	0.514	0.000	6	72.8	20.3	0.000050	0.116	83.33	12.968	0.00638
Ecology	147	APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	APPL ECOL ENV RES	1589-1623	878	0.689	0.558	0.734	0.139	525	3.3	10.0	0.001050	0.117	99.05	7.035	0.12582
Ecology	148	AMERICAN MIDLAND NATURALIST	AM MIDL NAT	0003-0031	3,545	0.657	0.619	0.869	0.213	47	26.9	13.6	0.001050	0.277	100.00	11.496	0.12559
Ecology	149	TROPICAL ECOLOGY	TROP ECOL	0564-3295	706	0.647	0.607	0.972	0.097	31	8.6	12.5	0.000770	0.234	96.77	9.451	0.09217
