"Journal Data Filtered By:  Selected Categories: ZOOLOGY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"ZOOLOGICAL SCIENCE","ZOOL SCI","0289-0003","0289-0003","ZOOLOGY - SCIE","2,892","0.955","Q4","0.49","0.52"%," 133/176 ","1.095","0.902","0.435"," 122/179 ","32.12","0.001","0.196","0.278","24.72","Q3","62","100"%,"14.2","14.8","62",
"JOURNAL OF HELMINTHOLOGY","J HELMINTHOL","0022-149X","1475-2697","ZOOLOGY - SCIE","2,890","1.866","Q2","0.82","6.74"%," 64/176 ","1.782","1.746","0.333"," 66/179 ","63.41","0.002","0.421","0.356","63.92","Q3","72","95.83"%,"9.2","12.8","69",
"ZOO BIOLOGY","ZOO BIOL","0733-3188","1098-2361","ZOOLOGY - SCIE","2,743","1.495","Q3","0.66","10.5"%," 89/176 ","1.578","1.342","0.571"," 90/179 ","50","0.001","0.189","0.33","49.72","Q3","70","95.71"%,"12.9","13","67",
"LABORATORY ANIMALS","LAB ANIM-UK","0023-6772","1758-1117","ZOOLOGY - SCIE","2,616","2.908","Q1","1.16","16.05"%," 22/176 ","2.44","2.807","0.472"," 22/179 ","87.99","0.001","0.284","0.509","87.78","Q2","53","84.91"%,"9.4","8.6","45",
"ZOOLOGISCHER ANZEIGER","ZOOL ANZ","0044-5231","0044-5231","ZOOLOGY - SCIE","2,592","1.581","Q2","0.89","2.14"%," 84/176 ","1.535","1.506","0.417"," 55/179 ","69.55","0.001","0.303","0.375","52.56","Q2","108","98.15"%,"20.3","15.6","106",
"NEMATOLOGY","NEMATOLOGY","1388-5545","N/A","ZOOLOGY - SCIE","2,559","1.489","Q3","0.84","4.85"%," 91/176 ","1.383","1.097","0.674"," 62/179 ","65.64","0.001","0.189","0.22","48.58","Q4","92","97.83"%,"11.4","14.6","90",
"PRIMATES","PRIMATES","0032-8332","1610-7365","ZOOLOGY - SCIE","2,540","1.781","Q2","0.92","15.53"%," 69/176 ","1.737","1.55","0.426"," 50/179 ","72.35","0.001","0.301","0.471","61.08","Q2","68","97.06"%,"15.7","12.8","66",
"BRAIN BEHAVIOR AND EVOLUTION","BRAIN BEHAV EVOLUT","0006-8977","1421-9743","ZOOLOGY - SCIE","2,528","1.919","Q2","0.64","16.39"%," 61/176 ","2.187","1.676","0.542"," 94/179 ","47.77","0.001","0.223","0.733","65.63","Q1","24","62.5"%,"16.1","13.5","15",
"MAMMALIAN BIOLOGY","MAMM BIOL","1616-5047","1618-1476","ZOOLOGY - SCIE","2,486","1.984","Q2","1.01","17.38"%," 58/176 ","2.297","1.903","0.423"," 36/179 ","80.17","0.002","0.477","0.533","67.33","Q2","97","97.94"%,"6.7","11.9","95",
"Current Zoology","CURR ZOOL","1674-5507","2396-9814","ZOOLOGY - SCIE","2,386","2.734","Q1","1.57","99.16"%," 27/176 ","2.983","2.601","1.011"," 8/179 ","95.81","0.003","0.585","0.801","84.94","Q1","95","100"%,"6.1","11.8","95",
"Journal of the American Association for Laboratory Animal Science","J AM ASSOC LAB ANIM","1559-6109","1559-6109","ZOOLOGY - SCIE","2,384","1.706","Q2","0.74","0"%," 76/176 ","1.809","1.325","0.143"," 77/179 ","57.26","0.001","0.252","0.307","57.1","Q3","84","100"%,"8.1","10.1","84",
"PAKISTAN JOURNAL OF ZOOLOGY","PAK J ZOOL","0030-9923","0030-9923","ZOOLOGY - SCIE","2,334","0.687","Q4","0.43","98.95"%," 157/176 ","0.736","0.66","0.19"," 137/179 ","23.74","0.002","0.375","0.12","11.08","Q4","326","97.55"%,"5.8","13.1","318",
"Journal of Experimental Zoology Part A-Ecological and Integrative Physiology","J EXP ZOOL PART A","2471-5638","2471-5646","ZOOLOGY - SCIE","2,299","2.693","Q1","1.2","6.22"%," 28/176 ","2.539","2.518","0.534"," 19/179 ","89.66","0.002","0.388","0.595","84.38","Q1","88","88.64"%,"8.8","13.3","78",
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION","J EXP PSYCHOL-ANIM L","2329-8456","2329-8464","ZOOLOGY - SCIE","2,232","2.088","Q2","0.78","3.74"%," 53/176 ","2.024","1.647","0.769"," 71/179 ","60.61","0.001","0.194","0.572","70.17","Q2","39","97.44"%,"17.4","14","38",
"AUSTRALIAN JOURNAL OF ZOOLOGY","AUST J ZOOL","0004-959X","1446-5698","ZOOLOGY - SCIE","2,192","1.073","Q3","0.48","20"%," 125/176 ","1.202","0.951","0.265"," 126/179 ","29.89","0","0.089","0.255","29.26","Q4","34","91.18"%,"24.7","13.8","31",
"ZOOLOGY","ZOOLOGY","0944-2006","1873-2720","ZOOLOGY - SCIE","2,163","2.027","Q2","1.04","7.14"%," 56/176 ","2.448","1.945","0.833"," 35/179 ","80.73","0.002","0.398","0.633","68.47","Q1","72","95.83"%,"9","13.3","69",
"Zebrafish","ZEBRAFISH","1545-8547","1557-8542","ZOOLOGY - SCIE","2,151","2.229","Q2","0.87","6.99"%," 51/176 ","2.57","2.143","0.395"," 58/179 ","67.88","0.002","0.342","0.483","71.31","Q2","38","97.37"%,"7","9.6","37",
"WILDLIFE BIOLOGY","WILDLIFE BIOL","0909-6396","1903-220X","ZOOLOGY - SCIE","2,135","2.242","Q2","0.67","96.07"%," 49/176 ","2.067","2.153","0.37"," 85/179 ","52.79","0.001","0.249","0.483","72.44","Q2","54","100"%,"11.3","11.5","54",
"JOURNAL OF MOLLUSCAN STUDIES","J MOLLUS STUD","0260-1230","1464-3766","ZOOLOGY - SCIE","2,039","1.631","Q2","0.64","4.13"%," 82/176 ","1.716","1.464","0.676"," 94/179 ","47.77","0.001","0.201","0.396","53.69","Q2","37","94.59"%,"14.6","14","35",
"Neotropical Ichthyology","NEOTROP ICHTHYOL","1679-6225","N/A","ZOOLOGY - SCIE","1,998","1.47","Q3","0.84","92.89"%," 93/176 ","2.075","1.2","0.549"," 62/179 ","65.64","0.001","0.277","0.426","47.44","Q2","82","96.34"%,"8.2","11.1","79",
"ACTA AMAZONICA","ACTA AMAZON","0044-5967","1809-4392","ZOOLOGY - SCIE","1,996","1.091","Q3","0.41","100"%," 121/176 ","1.479","1.04","0.239"," 141/179 ","21.51","0.001","0.164","0.333","31.53","Q3","46","97.83"%,"13.4","9.5","45",
"COMPARATIVE MEDICINE","COMPARATIVE MED","1532-0820","1532-0820","ZOOLOGY - SCIE","1,994","1.565","Q2","0.6","0"%," 85/176 ","1.586","1.481","0.205"," 104/179 ","42.18","0.001","0.215","0.366","51.99","Q2","44","97.73"%,"11.5","9.3","43",
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","ZOOLOGY - SCIE","1,944","13.341","Q1","4.92","4.92"%," 1/176 ","11.901","13.268","5.05"," 1/179 ","99.72","0.002","0.501","2.714","99.72","Q1","20","95"%,"5.2","8.3","19",
"JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","J EXP ZOOL PART B","1552-5007","1552-5015","ZOOLOGY - SCIE","1,918","2.368","Q1","0.65","15.83"%," 40/176 ","2.355","2.103","1.077"," 92/179 ","48.88","0.001","0.292","0.681","77.56","Q1","52","78.85"%,"9.4","12.2","41",
"ACTA PARASITOLOGICA","ACTA PARASITOL","1230-2821","1896-1851","ZOOLOGY - SCIE","1,912","1.534","Q2","0.61","7.46"%," 87/176 ","1.427","1.418","0.311"," 101/179 ","43.85","0.002","0.357","0.287","50.85","Q3","177","90.96"%,"6.2","9.7","161",
"ZOOLOGICAL STUDIES","ZOOL STUD","1021-5506","1810-522X","ZOOLOGY - SCIE","1,896","1.904","Q2","1.07","0"%," 62/176 ","1.781","1.667","0.364"," 31/179 ","82.96","0.001","0.237","0.433","65.06","Q2","77","94.81"%,"10.2","14.4","73",
"RAFFLES BULLETIN OF ZOOLOGY","RAFFLES B ZOOL","0217-2445","2345-7600","ZOOLOGY - SCIE","1,875","1.198","Q3","0.57","0"%," 111/176 ","1.187","1.165","0.351"," 109/179 ","39.39","0.001","0.209","0.315","37.22","Q3","37","91.89"%,"11.5","14.6","34",
"ORGANISMS DIVERSITY & EVOLUTION","ORG DIVERS EVOL","1439-6092","1618-1077","ZOOLOGY - SCIE","1,857","2.663","Q1","0.94","21.99"%," 29/176 ","2.741","2.55","0.738"," 44/179 ","75.7","0.002","0.324","0.726","83.81","Q1","61","98.36"%,"9.1","13.7","60",
"AMPHIBIA-REPTILIA","AMPHIBIA-REPTILIA","0173-5373","1568-5381","ZOOLOGY - SCIE","1,822","2.319","Q1","0.93","6.38"%," 44/176 ","1.766","2.187","0.38"," 47/179 ","74.02","0.001","0.188","0.388","75.28","Q2","50","100"%,"12.5","12.8","50",
"MAMMALIA","MAMMALIA","0025-1461","1864-1547","ZOOLOGY - SCIE","1,814","1.197","Q3","0.6","1.95"%," 112/176 ","1.11","1.132","0.41"," 104/179 ","42.18","0.001","0.212","0.268","36.65","Q3","105","99.05"%,"13.4","13.1","104",
"AQUATIC MAMMALS","AQUAT MAMM","0167-5427","N/A","ZOOLOGY - SCIE","1,810","1.633","Q2","0.62","0"%," 81/176 ","1.442","1.442","0.308"," 98/179 ","45.53","0.001","0.189","0.299","54.26","Q3","52","100"%,"12.5","13.5","52",
