"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY","TELLUS A","N/A","1600-0870","OCEANOGRAPHY - SCIE","3,291","2.247","Q3","0.67","100"%," 38/66 ","2.678","2.141","0.257"," 37/68 ","46.32","0.002","0.414","0.994","43.18","Q1","35","97.14"%,"13","10.7","34",
"JOURNAL OF OCEANOGRAPHY","J OCEANOGR","0916-8370","1573-868X","OCEANOGRAPHY - SCIE","3,138","2","Q3","0.57","20.45"%," 42/66 ","2.186","1.837","0.63"," 43/68 ","37.5","0.002","0.34","0.679","37.12","Q2","46","95.65"%,"13.9","13.2","44",
"ACTA OCEANOLOGICA SINICA","ACTA OCEANOL SIN","0253-505X","1869-1099","OCEANOGRAPHY - SCIE","3,043","1.369","Q4","0.44","0"%," 51/66 ","1.467","1.301","0.287"," 48/68 ","30.15","0.003","0.536","0.298","23.48","Q4","178","100"%,"6.7","11.2","178",
"JOURNAL OF MARINE RESEARCH","J MAR RES","0022-2402","1543-9542","OCEANOGRAPHY - SCIE","2,928","1.107","Q4","0.24","0"%," 53/66 ","1.395","1.107","0.111"," 59/68 ","13.97","0","0.07","0.451","20.45","Q3","9","100"%,"29.9","20.4","9",
"Oceanography and Marine Biology","OCEANOGR MAR BIOL","0078-3218","N/A","OCEANOGRAPHY - SCIE","2,832","6","Q1","1.55","0"%," 3/66 ","8.694","5.813","1.444"," 3/68 ","96.32","0.001","0.14","1.915","96.21","Q1","18","77.78"%,"18.7","11.9","14",
"JOURNAL OF NAVIGATION","J NAVIGATION","0373-4633","1469-7785","OCEANOGRAPHY - SCIE","2,811","2.647","Q2","0.94","7.66"%," 28/66 ","2.43","2.451","0.818"," 21/68 ","69.85","0.002","0.381","0.437","58.33","Q3","88","98.86"%,"7.9","7.4","87",
"NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH","NEW ZEAL J MAR FRESH","0028-8330","1175-8805","OCEANOGRAPHY - SCIE","2,677","1.677","Q3","0.57","6.12"%," 48/66 ","1.943","1.434","0.792"," 43/68 ","37.5","0.001","0.164","0.386","28.03","Q3","48","93.75"%,"18.7","13.8","45",
"FISHERIES OCEANOGRAPHY","FISH OCEANOGR","1054-6006","1365-2419","OCEANOGRAPHY - SCIE","2,628","2.67","Q2","0.89","16.78"%," 27/66 ","2.914","2.554","0.486"," 25/68 ","63.97","0.002","0.387","0.742","59.85","Q2","37","100"%,"10.8","11.2","37",
"GEO-MARINE LETTERS","GEO-MAR LETT","0276-0460","1432-1157","OCEANOGRAPHY - SCIE","2,345","2.267","Q3","0.63","16.77"%," 37/66 ","2.237","2.162","0.32"," 39/68 ","43.38","0.001","0.263","0.569","44.7","Q3","50","98"%,"13.4","15.6","49",
"MARINE GEORESOURCES & GEOTECHNOLOGY","MAR GEORESOUR GEOTEC","1064-119X","1521-0618","OCEANOGRAPHY - SCIE","2,110","2.605","Q2","0.8","0"%," 31/66 ","2.37","2.219","0.51"," 32/68 ","53.68","0.002","0.503","0.405","53.79","Q3","155","100"%,"3.6","9.4","155",
"HELGOLAND MARINE RESEARCH","HELGOLAND MAR RES","1438-387X","1438-3888","OCEANOGRAPHY - SCIE","2,043","2.217","Q3","0.53","100"%," 39/66 ","2.056","2.13","0.556"," 45/68 ","34.56","0","0.085","0.471","41.67","Q3","9","77.78"%,"17","15.6","7",
"POLAR RESEARCH","POLAR RES-SWEDEN","0800-0395","1751-8369","OCEANOGRAPHY - SCIE","1,896","1.847","Q3","0.43","98.97"%," 46/66 ","2.124","1.722","0.52"," 50/68 ","27.21","0.001","0.214","0.547","31.06","Q3","25","88"%,"11.1","12.7","22",
