Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
46	Biology Letters	BIOL LETTERS	1744-9561	9,783	3.323	3.226	3.484	0.517	209	7.0	7.8	0.019530	1.339	95.69	72.764	2.31988
47	HEREDITY	HEREDITY	0018-067X	9,521	3.179	3.085	3.677	1.053	95	11.8	9.1	0.010620	1.325	95.79	66.051	1.26246
48	BIODIVERSITY AND CONSERVATION	BIODIVERS CONSERV	0960-3115	10,975	3.142	2.920	3.295	0.813	193	9.2	9.1	0.011380	0.950	92.75	73.752	1.35219
49	ANIMAL CONSERVATION	ANIM CONSERV	1367-9430	3,282	3.048	2.857	3.271	1.604	48	8.8	8.9	0.003960	1.028	100.00	76.162	0.47092
50	BIOTROPICA	BIOTROPICA	0006-3606	6,342	2.989	2.887	2.721	0.967	92	13.3	10.6	0.004860	0.814	96.74	69.817	0.57753
51	JOURNAL OF VEGETATION SCIENCE	J VEG SCI	1100-9233	8,102	2.944	2.746	3.392	0.471	102	12.0	10.5	0.007740	1.021	100.00	78.270	0.91960
52	OECOLOGIA	OECOLOGIA	0029-8549	33,263	2.915	2.788	3.323	0.586	290	15.5	10.7	0.022470	1.091	99.31	68.598	2.66912
53	BIOLOGICAL INVASIONS	BIOL INVASIONS	1387-3547	9,232	2.897	2.657	2.914	0.792	250	7.3	10.3	0.013040	0.809	98.80	74.080	1.54986
54	RESTORATION ECOLOGY	RESTOR ECOL	1061-2971	5,513	2.826	2.398	2.888	0.898	167	9.2	9.6	0.005160	0.716	91.62	67.378	0.61328
55	INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY	INT J SUST DEV WORLD	1350-4509	1,694	2.811	2.236	2.396	1.000	70	7.1	8.7	0.001140	0.319	98.57	58.384	0.13646
56	ORYX	ORYX	0030-6053	3,082	2.801	2.579	2.830	1.350	80	8.0	9.1	0.004920	0.944	100.00	72.303	0.58500
57	BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	B AM MUS NAT HIST	0003-0090	2,785	2.800	2.600	3.979	0.125	8	33.8	20.3	0.000740	1.202	100.00	71.136	0.08865
58	AQUATIC MICROBIAL ECOLOGY	AQUAT MICROB ECOL	0948-3055	4,340	2.788	2.385	2.584	0.857	42	12.8	11.2	0.002180	0.716	100.00	65.435	0.25950
59	Global Ecology and Conservation	GLOB ECOL CONSERV	2351-9894	1,082	2.751	2.607	2.963	0.192	146	3.1	8.8	0.004230	0.902	91.10	68.803	0.50258
60	Ecosphere	ECOSPHERE	2150-8925	5,935	2.746	2.593	3.217	0.452	409	3.4	10.4	0.019500	1.041	99.27	63.720	2.31627
61	BEHAVIORAL ECOLOGY	BEHAV ECOL	1045-2249	9,769	2.695	2.468	3.226	1.135	155	9.6	11.2	0.013890	1.165	96.13	75.071	1.65005
62	Frontiers in Ecology and Evolution	FRONT ECOL EVOL	2296-701X	1,539	2.686	2.595	Not Available	0.397	204	2.8	9.5	0.006610	Not Available	89.22	62.500	0.78588
63	ECOLOGICAL MODELLING	ECOL MODEL	0304-3800	18,791	2.634	2.362	2.852	0.433	252	11.0	10.1	0.015220	0.722	96.83	61.890	1.80868
64	Ecohydrology	ECOHYDROLOGY	1936-0584	2,703	2.564	2.376	2.829	0.847	118	4.5	10.4	0.005890	0.757	94.92	63.187	0.69958
65	JOURNAL OF EVOLUTIONARY BIOLOGY	J EVOLUTION BIOL	1010-061X	10,594	2.541	2.394	2.753	0.482	166	8.8	10.7	0.015540	1.068	99.40	52.645	1.84645
66	PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	PERSPECT PLANT ECOL	1433-8319	2,230	2.524	2.357	3.482	0.946	56	8.2	10.0	0.002710	1.044	87.50	66.324	0.32286
67	AQUATIC ECOLOGY	AQUAT ECOL	1386-2588	1,783	2.505	2.474	2.235	0.320	25	9.5	12.4	0.001760	0.616	100.00	74.336	0.20971
68	URBAN ECOSYSTEMS	URBAN ECOSYST	1083-8155	2,578	2.493	2.278	2.781	0.510	98	6.1	9.8	0.003660	0.631	98.98	64.335	0.43478
69	CHEMOECOLOGY	CHEMOECOLOGY	0937-7409	1,015	2.488	2.326	1.936	0.474	19	11.6	10.9	0.000910	0.553	100.00	48.663	0.10838
69	NeoBiota	NEOBIOTA	1619-0033	292	2.488	2.209	Not Available	0.368	19	4.1	9.8	0.000720	Not Available	100.00	63.168	0.08621
71	BASIC AND APPLIED ECOLOGY	BASIC APPL ECOL	1439-1791	3,128	2.474	2.365	2.760	0.730	74	8.2	9.3	0.003900	0.807	94.59	57.012	0.46366
72	EVOLUTIONARY ECOLOGY	EVOL ECOL	0269-7653	3,607	2.465	2.442	2.032	0.625	40	12.1	12.4	0.003220	0.718	100.00	49.789	0.38304
73	ECOTOXICOLOGY	ECOTOXICOLOGY	0963-9292	5,980	2.460	2.275	2.634	0.460	126	7.1	9.3	0.006150	0.551	98.41	51.805	0.73136
74	JOURNAL OF CHEMICAL ECOLOGY	J CHEM ECOL	0098-0331	10,408	2.447	2.226	3.024	0.505	107	13.6	11.9	0.006950	0.852	86.92	46.803	0.82643
