"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
66,WILDLIFE BIOLOGY,WILDLIFE BIOL,0909-6396,"1,428",1.341,1.250,1.731,0.132,38,10.2,11.9,0.001590,0.551,100.00,45.827,0.18937
67,SALAMANDRA,SALAMANDRA,0036-3375,382,1.313,1.219,1.355,0.435,23,6.8,12.8,0.000640,0.401,100.00,60.882,0.07620
68,CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,0008-4301,"11,201",1.311,1.230,1.697,0.595,158,20.9,13.4,0.003890,0.541,96.20,60.294,0.46205
69,ANIMAL BIOLOGY,ANIM BIOL,1570-7555,453,1.304,0.982,1.112,0.724,29,7.5,13.4,0.000510,0.272,96.55,59.706,0.06111
70,Vertebrate Zoology,VERTEBR ZOOL,1864-5755,184,1.282,1.231,1.017,0.045,22,4.4,17.4,0.000490,0.312,95.45,59.118,0.05826
71,URSUS,URSUS,1537-6176,590,1.250,1.156,1.383,0.125,8,11.5,11.0,0.000420,0.399,100.00,58.529,0.05077
72,WILDLIFE RESEARCH,WILDLIFE RES,1035-3712,"2,630",1.244,1.074,1.579,0.188,69,11.0,10.4,0.002090,0.457,94.20,43.452,0.24900
73,NEMATOLOGY,NEMATOLOGY,1388-5545,"1,664",1.216,0.869,1.115,0.352,71,10.0,14.3,0.001520,0.260,100.00,57.353,0.18131
74,RAFFLES BULLETIN OF ZOOLOGY,RAFFLES B ZOOL,0217-2445,"1,494",1.213,1.161,1.079,0.385,39,9.9,18.0,0.001920,0.349,92.31,56.765,0.22863
75,Zoosystematics and Evolution,ZOOSYST EVOL,1860-0743,207,1.209,1.047,1.120,0.306,36,5.5,14.3,0.000390,0.321,91.67,56.176,0.04633
76,EXPERIMENTAL ANIMALS,EXP ANIM TOKYO,1341-1357,"1,027",1.208,1.135,1.338,0.464,56,8.7,9.3,0.001090,0.350,92.86,59.177,0.13008
77,HYSTRIX-Italian Journal of Mammalogy,HYSTRIX,0394-1914,745,1.195,1.078,3.405,0.147,34,5.5,11.3,0.002280,1.129,97.06,55.000,0.27100
78,NAUTILUS,NAUTILUS,0028-1344,432,1.189,1.108,0.901,0.067,15,31.6,28.2,0.000270,0.226,100.00,44.567,0.03228
79,European Journal of Taxonomy,EUR J TAXON,2118-9773,496,1.188,1.106,1.138,0.616,99,2.2,26.8,0.001830,0.399,93.94,53.824,0.21827
80,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,EUR J WILDLIFE RES,1612-4642,"1,769",1.184,1.105,1.503,0.289,76,6.6,11.2,0.002900,0.437,97.37,39.270,0.34502
81,ZOO BIOLOGY,ZOO BIOL,0733-3188,"1,942",1.153,1.008,1.469,0.245,53,12.0,11.2,0.001490,0.334,90.57,55.579,0.17764
82,ZOOMORPHOLOGY,ZOOMORPHOLOGY,0720-213X,916,1.143,1.036,1.310,0.318,44,13.6,17.3,0.001040,0.400,100.00,41.506,0.12371
82,ZooKeys,ZOOKEYS,1313-2989,"4,400",1.143,0.963,1.100,0.308,577,4.5,16.0,0.011270,0.338,93.76,52.059,1.33873
84,AMPHIBIAN & REPTILE CONSERVATION,AMPHIB REPTILE CONSE,1083-446X,113,1.133,1.067,Not Available,0.071,14,4.3,14.1,0.000430,Not Available,100.00,50.882,0.05177
85,ITALIAN JOURNAL OF ZOOLOGY,ITAL J ZOOL,1125-0003,"1,084",1.123,1.123,1.151,Not Available,0,10.2,Not Available,0.001010,0.297,Not Available,50.294,0.12019
86,South American Journal of Herpetology,S AM J HERPETOL,1808-9798,372,1.122,0.939,1.231,0.167,24,6.7,18.4,0.000630,0.399,100.00,49.706,0.07577
87,HERPETOZOA,HERPETOZOA,1013-4425,221,1.120,0.920,1.072,0.600,15,11.1,15.5,0.000250,0.284,100.00,49.118,0.03072
88,Mammal Research,MAMMAL RES,2199-2401,187,1.119,1.036,1.336,0.327,49,2.7,12.6,0.000670,0.398,95.92,48.529,0.07996
89,LABORATORY ANIMALS,LAB ANIM-UK,0023-6772,"2,134",1.117,1.054,1.832,0.473,55,12.0,11.2,0.001850,0.561,94.55,52.162,0.22022
90,ZOOSYSTEMA,ZOOSYSTEMA,1280-9551,576,1.116,0.977,0.977,0.840,25,11.3,15.1,0.000600,0.355,96.00,47.353,0.07186
91,Journal of Experimental Zoology Part A-Ecological and Integrative Physiology,J EXP ZOOL PART A,****-****,"1,523",1.081,1.000,1.169,1.100,60,9.0,10.4,0.001390,0.338,83.33,46.765,0.16622
92,JOURNAL OF CRUSTACEAN BIOLOGY,J CRUSTACEAN BIOL,0278-0372,"2,512",1.069,0.909,1.244,0.376,93,15.0,16.2,0.002070,0.365,98.92,39.060,0.24633
93,FOLIA PRIMATOLOGICA,FOLIA PRIMATOL,0015-5713,"1,390",1.061,0.980,1.173,0.414,29,22.9,13.2,0.000570,0.343,96.55,45.588,0.06833
94,ACTA AMAZONICA,ACTA AMAZON,0044-5967,"1,521",1.042,1.010,1.100,0.043,47,11.5,10.2,0.000960,0.281,100.00,32.408,0.11482
95,ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,0394-9370,847,1.038,1.000,1.442,0.238,42,12.9,13.7,0.000960,0.443,100.00,23.621,0.11480
96,JOURNAL OF HERPETOLOGY,J HERPETOL,0022-1511,"3,293",1.030,0.963,1.109,0.274,62,16.4,14.3,0.002010,0.361,100.00,43.824,0.23873
97,ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,0003-455X,"1,664",1.019,1.000,1.136,0.150,20,15.9,14.3,0.000810,0.382,100.00,31.221,0.09717
98,COPEIA,COPEIA,0045-8511,"5,465",1.018,0.970,1.183,0.177,62,25.7,14.4,0.002190,0.416,98.39,42.647,0.26025
99,Journal of the American Association for Laboratory Animal Science,J AM ASSOC LAB ANIM,1559-6109,"1,436",1.017,0.724,1.621,0.071,70,6.4,9.2,0.002300,0.430,98.57,46.384,0.27394
100,ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,0001-7272,"1,057",1.012,0.963,1.044,0.636,33,12.3,15.9,0.001000,0.333,90.91,31.450,0.11973
101,ZOOTAXA,ZOOTAXA,1175-5326,"19,280",0.990,0.598,0.990,0.287,"2,232",5.6,22.6,0.027520,0.211,94.58,40.882,3.26886
102,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,STUD NEOTROP FAUNA E,0165-0521,663,0.982,0.930,0.785,0.292,24,15.1,14.0,0.000400,0.229,95.83,40.294,0.04851
103,ICHTHYOLOGICAL RESEARCH,ICHTHYOL RES,1341-8998,890,0.980,0.822,1.146,0.380,50,9.6,16.5,0.001080,0.342,92.00,39.706,0.12831
