Journal Data Filtered By: Selected Categories: SI Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
GEO-MARINE LETTERS,0276-0460,1432-1157,"OCEANOGRAPHY - SCIE","2,262",1.836,"Q3",0.55,10.74%,2.031,1.726,1.013,0.00098,0.20733,0.498,31.519,74,13.3,13.9,97.37%,76,
HELGOLAND MARINE RESEARCH,1438-387X,1438-3888,"OCEANOGRAPHY - SCIE","1,921",1.241,"Q4",0.59,100.00%,1.809,1.207,0.154,0.00056,0.11803,0.497,26.556,13,13.6,16.3,100.00%,13,
POLAR RESEARCH,0800-0395,1751-8369,"OCEANOGRAPHY - SCIE","1,837",1.612,"Q3",0.43,100.00%,2.090,1.576,0.000,0.00143,0.30060,0.660,26.501,30,11.1,11.1,100.00%,30,
MARINE GEORESOURCES & GEOTECHNOLOGY,1064-119X,1521-0618,"OCEANOGRAPHY - SCIE","1,813",2.673,"Q2",0.84,0.24%,2.378,2.014,1.090,0.00193,0.40546,0.404,55.943,210,9.8,3.4,99.06%,212,
ENVIRONMENTAL FLUID MECHANICS,1567-7419,1573-1510,"OCEANOGRAPHY - SCIE","1,724",2.551,"Q2",0.64,11.66%,2.524,2.319,1.200,0.00205,0.42987,0.633,48.118,84,13.0,5.8,98.82%,85,
Journal of Ocean University of China,1672-5182,1993-5021,"OCEANOGRAPHY - SCIE","1,552",0.913,"Q4",0.34,0.00%,1.012,0.873,0.225,0.00144,0.30366,0.190,19.231,149,11.3,6.0,98.68%,151,
ATMOSPHERE-OCEAN,0705-5900,1480-9214,"OCEANOGRAPHY - SCIE","1,461",2.058,"Q3",0.56,5.26%,1.698,1.962,0.208,0.00082,0.17251,0.537,35.487,23,10.4,14.6,95.83%,24,
MARINE GEOPHYSICAL RESEARCH,0025-3235,1573-0581,"OCEANOGRAPHY - SCIE","1,362",2.693,"Q2",0.93,14.58%,2.477,2.667,0.286,0.00099,0.20752,0.646,58.912,21,14.2,12.7,100.00%,21,
OCEANOLOGY,0001-4370,1531-8508,"OCEANOGRAPHY - SCIE","1,312",0.694,"Q4",0.24,0.00%,0.816,0.454,0.144,0.00082,0.17299,0.166,11.538,90,14.4,10.1,100.00%,90,
OCEANOLOGIA,0078-3234,2300-7370,"OCEANOGRAPHY - SCIE","1,291",2.427,"Q2",0.95,100.00%,2.671,2.236,0.549,0.00122,0.25647,0.566,53.077,51,12.5,6.4,100.00%,51,
Indian Journal of Geo-Marine Sciences,0379-5136,0975-1033,"OCEANOGRAPHY - SCIE","1,287",0.496,"Q4",0.16,0.00%,0.605,0.422,0.124,0.00113,0.23731,0.082,5.385,230,13.8,4.8,98.71%,233,
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0001-4338,1555-628X,"OCEANOGRAPHY - SCIE","1,285",0.718,"Q4",0.24,0.00%,0.811,0.443,0.117,0.00109,0.22890,0.155,9.169,128,9.6,7.2,100.00%,128,
MARINE GEODESY,0149-0419,1521-060X,"OCEANOGRAPHY - SCIE","1,275",1.667,"Q3",0.45,1.09%,1.732,1.526,0.629,0.00072,0.15213,0.394,28.915,35,9.5,10.6,100.00%,35,
